Unnamed: 0,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist,Release Year,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5,Minecraft,2011-11-18,['Mojang Studios'],4.3,2.3K,2.3K,"['Adventure', 'Simulator']","Minecraft Focuses On Allowing The Player To Explore, Interact With, And Modify A Dynamically-Generated Map Made Of One-Cubic-Meter-Sized Blocks. In Addition To Blocks, The Environment Features Plants, Mobs, And Items. Some Activities In The Game Include Mining For Ore, Fighting Hostile Mobs, And Crafting New Blocks And Tools By Gathering Various Resources Found In The Game. The Game'S Open-Ended Model Allows Players To Create Structures, Creations, And Artwork On Various Multiplayer Servers Or Their Single-Player Maps. Other Features Include Redstone Circuits For Logic Computations And Remote Actions, Minecarts And Tracks, And A Mysterious Underworld Called The Nether. A Designated But Completely Optional Goal Of The Game Is To Travel To A Dimension Called The End, And Defeat The Ender Dragon.","['Minecraft Is What You Make Of It. Unfortunately Theres No Reason To Do Anything.', 'Muito Bom, Vc Pode Construir, Usar Sua Imaginação, Mods, Sobreviver, Jogar Multiplayer E Até Zerar O Jogo! Minecraft É Um Jogo Incrível E Fica Melhor A Cada Atualização, (Nunca Zerei Mesmo Depois De Muitos Anos)', 'Jogo Incrível, Muito Divertido, E Com Amigos Fica Ainda Mais Legal.', 'Baby Gammeeee 😭\N                     \N                     Had The Most Fun Playing When It Was First Released Sory\N                     \N                     Still Fun For A Couple Of Hours When Playing With People Tho! 😁', 'Майнкрафт Сука Это Моя Жизнь Блядь! Майнкраааафт!!! Ой, Мама Пришла.', 'E Um Game Maneiro Mais Jogar Ele Sem Amigos Ou Sem Mods É Meio Chato']",33000,1.8K,1100,230,2011,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
5,Minecraft,2011-11-18,['Mojang Studios'],4.3,2.3K,2.3K,"['Adventure', 'Simulator']","Minecraft Focuses On Allowing The Player To Explore, Interact With, And Modify A Dynamically-Generated Map Made Of One-Cubic-Meter-Sized Blocks. In Addition To Blocks, The Environment Features Plants, Mobs, And Items. Some Activities In The Game Include Mining For Ore, Fighting Hostile Mobs, And Crafting New Blocks And Tools By Gathering Various Resources Found In The Game. The Game'S Open-Ended Model Allows Players To Create Structures, Creations, And Artwork On Various Multiplayer Servers Or Their Single-Player Maps. Other Features Include Redstone Circuits For Logic Computations And Remote Actions, Minecarts And Tracks, And A Mysterious Underworld Called The Nether. A Designated But Completely Optional Goal Of The Game Is To Travel To A Dimension Called The End, And Defeat The Ender Dragon.","['Minecraft Is What You Make Of It. Unfortunately Theres No Reason To Do Anything.', 'Muito Bom, Vc Pode Construir, Usar Sua Imaginação, Mods, Sobreviver, Jogar Multiplayer E Até Zerar O Jogo! Minecraft É Um Jogo Incrível E Fica Melhor A Cada Atualização, (Nunca Zerei Mesmo Depois De Muitos Anos)', 'Jogo Incrível, Muito Divertido, E Com Amigos Fica Ainda Mais Legal.', 'Baby Gammeeee 😭\N                     \N                     Had The Most Fun Playing When It Was First Released Sory\N                     \N                     Still Fun For A Couple Of Hours When Playing With People Tho! 😁', 'Майнкрафт Сука Это Моя Жизнь Блядь! Майнкраааафт!!! Ой, Мама Пришла.', 'E Um Game Maneiro Mais Jogar Ele Sem Amigos Ou Sem Mods É Meio Chato']",33000,1.8K,1100,230,2011,169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
5,Minecraft,2011-11-18,['Mojang Studios'],4.3,2.3K,2.3K,"['Adventure', 'Simulator']","Minecraft Focuses On Allowing The Player To Explore, Interact With, And Modify A Dynamically-Generated Map Made Of One-Cubic-Meter-Sized Blocks. In Addition To Blocks, The Environment Features Plants, Mobs, And Items. Some Activities In The Game Include Mining For Ore, Fighting Hostile Mobs, And Crafting New Blocks And Tools By Gathering Various Resources Found In The Game. The Game'S Open-Ended Model Allows Players To Create Structures, Creations, And Artwork On Various Multiplayer Servers Or Their Single-Player Maps. Other Features Include Redstone Circuits For Logic Computations And Remote Actions, Minecarts And Tracks, And A Mysterious Underworld Called The Nether. A Designated But Completely Optional Goal Of The Game Is To Travel To A Dimension Called The End, And Defeat The Ender Dragon.","['Minecraft Is What You Make Of It. Unfortunately Theres No Reason To Do Anything.', 'Muito Bom, Vc Pode Construir, Usar Sua Imaginação, Mods, Sobreviver, Jogar Multiplayer E Até Zerar O Jogo! Minecraft É Um Jogo Incrível E Fica Melhor A Cada Atualização, (Nunca Zerei Mesmo Depois De Muitos Anos)', 'Jogo Incrível, Muito Divertido, E Com Amigos Fica Ainda Mais Legal.', 'Baby Gammeeee 😭\N                     \N                     Had The Most Fun Playing When It Was First Released Sory\N                     \N                     Still Fun For A Couple Of Hours When Playing With People Tho! 😁', 'Майнкрафт Сука Это Моя Жизнь Блядь! Майнкраааафт!!! Ой, Мама Пришла.', 'E Um Game Maneiro Mais Jogar Ele Sem Amigos Ou Sem Mods É Meio Chato']",33000,1.8K,1100,230,2011,298,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
5,Minecraft,2011-11-18,['Mojang Studios'],4.3,2.3K,2.3K,"['Adventure', 'Simulator']","Minecraft Focuses On Allowing The Player To Explore, Interact With, And Modify A Dynamically-Generated Map Made Of One-Cubic-Meter-Sized Blocks. In Addition To Blocks, The Environment Features Plants, Mobs, And Items. Some Activities In The Game Include Mining For Ore, Fighting Hostile Mobs, And Crafting New Blocks And Tools By Gathering Various Resources Found In The Game. The Game'S Open-Ended Model Allows Players To Create Structures, Creations, And Artwork On Various Multiplayer Servers Or Their Single-Player Maps. Other Features Include Redstone Circuits For Logic Computations And Remote Actions, Minecarts And Tracks, And A Mysterious Underworld Called The Nether. A Designated But Completely Optional Goal Of The Game Is To Travel To A Dimension Called The End, And Defeat The Ender Dragon.","['Minecraft Is What You Make Of It. Unfortunately Theres No Reason To Do Anything.', 'Muito Bom, Vc Pode Construir, Usar Sua Imaginação, Mods, Sobreviver, Jogar Multiplayer E Até Zerar O Jogo! Minecraft É Um Jogo Incrível E Fica Melhor A Cada Atualização, (Nunca Zerei Mesmo Depois De Muitos Anos)', 'Jogo Incrível, Muito Divertido, E Com Amigos Fica Ainda Mais Legal.', 'Baby Gammeeee 😭\N                     \N                     Had The Most Fun Playing When It Was First Released Sory\N                     \N                     Still Fun For A Couple Of Hours When Playing With People Tho! 😁', 'Майнкрафт Сука Это Моя Жизнь Блядь! Майнкраааафт!!! Ой, Мама Пришла.', 'E Um Game Maneiro Mais Jogar Ele Sem Amigos Ou Sem Mods É Meio Chato']",33000,1.8K,1100,230,2011,644,Minecraft,XONE,2014,Misc,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41
5,Minecraft,2011-11-18,['Mojang Studios'],4.3,2.3K,2.3K,"['Adventure', 'Simulator']","Minecraft Focuses On Allowing The Player To Explore, Interact With, And Modify A Dynamically-Generated Map Made Of One-Cubic-Meter-Sized Blocks. In Addition To Blocks, The Environment Features Plants, Mobs, And Items. Some Activities In The Game Include Mining For Ore, Fighting Hostile Mobs, And Crafting New Blocks And Tools By Gathering Various Resources Found In The Game. The Game'S Open-Ended Model Allows Players To Create Structures, Creations, And Artwork On Various Multiplayer Servers Or Their Single-Player Maps. Other Features Include Redstone Circuits For Logic Computations And Remote Actions, Minecarts And Tracks, And A Mysterious Underworld Called The Nether. A Designated But Completely Optional Goal Of The Game Is To Travel To A Dimension Called The End, And Defeat The Ender Dragon.","['Minecraft Is What You Make Of It. Unfortunately Theres No Reason To Do Anything.', 'Muito Bom, Vc Pode Construir, Usar Sua Imaginação, Mods, Sobreviver, Jogar Multiplayer E Até Zerar O Jogo! Minecraft É Um Jogo Incrível E Fica Melhor A Cada Atualização, (Nunca Zerei Mesmo Depois De Muitos Anos)', 'Jogo Incrível, Muito Divertido, E Com Amigos Fica Ainda Mais Legal.', 'Baby Gammeeee 😭\N                     \N                     Had The Most Fun Playing When It Was First Released Sory\N                     \N                     Still Fun For A Couple Of Hours When Playing With People Tho! 😁', 'Майнкрафт Сука Это Моя Жизнь Блядь! Майнкраааафт!!! Ой, Мама Пришла.', 'E Um Game Maneiro Mais Jogar Ele Sem Amigos Ou Sem Mods É Meio Chato']",33000,1.8K,1100,230,2011,715,Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
5,Minecraft,2011-11-18,['Mojang Studios'],4.3,2.3K,2.3K,"['Adventure', 'Simulator']","Minecraft Focuses On Allowing The Player To Explore, Interact With, And Modify A Dynamically-Generated Map Made Of One-Cubic-Meter-Sized Blocks. In Addition To Blocks, The Environment Features Plants, Mobs, And Items. Some Activities In The Game Include Mining For Ore, Fighting Hostile Mobs, And Crafting New Blocks And Tools By Gathering Various Resources Found In The Game. The Game'S Open-Ended Model Allows Players To Create Structures, Creations, And Artwork On Various Multiplayer Servers Or Their Single-Player Maps. Other Features Include Redstone Circuits For Logic Computations And Remote Actions, Minecarts And Tracks, And A Mysterious Underworld Called The Nether. A Designated But Completely Optional Goal Of The Game Is To Travel To A Dimension Called The End, And Defeat The Ender Dragon.","['Minecraft Is What You Make Of It. Unfortunately Theres No Reason To Do Anything.', 'Muito Bom, Vc Pode Construir, Usar Sua Imaginação, Mods, Sobreviver, Jogar Multiplayer E Até Zerar O Jogo! Minecraft É Um Jogo Incrível E Fica Melhor A Cada Atualização, (Nunca Zerei Mesmo Depois De Muitos Anos)', 'Jogo Incrível, Muito Divertido, E Com Amigos Fica Ainda Mais Legal.', 'Baby Gammeeee 😭\N                     \N                     Had The Most Fun Playing When It Was First Released Sory\N                     \N                     Still Fun For A Couple Of Hours When Playing With People Tho! 😁', 'Майнкрафт Сука Это Моя Жизнь Блядь! Майнкраааафт!!! Ой, Мама Пришла.', 'E Um Game Maneiro Mais Jogar Ele Sem Amigos Ou Sem Mods É Meio Chato']",33000,1.8K,1100,230,2011,4515,Minecraft,WIIU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
12,God Of War,2018-04-20,"['Sony Interactive Entertainment', 'Sie Santa Monica Studio']",4.2,2.9K,2.9K,"['Adventure', 'Brawler', 'Rpg']","God Of War Is The Sequel To God Of War Iii As Well As A Continuation Of The Canon God Of War Chronology. Unlike Previous Installments, This Game Focuses On Norse Mythology And Follows An Older And More Seasoned Kratos And His Son Atreus In The Years Since The Third Game. It Is In This Harsh, Unforgiving World That He Must Fight To Survive… And Teach His Son To Do The Same.","['Freya Te Vejo Como Figura Materna', 'I Ruv !', 'One Of The Greatest Games I Have Ever Played.', 'Whenever I Think About This Game Epic Norse Music Plays In My Head', 'God Of War Is A Game That Understands Its Audience. Kratos Is Now As Tired And Old As All Of Us Who Played The Original Games Back On The Ps2.', 'One Of The Best Games Of The Ps4 Generation, That Game Changes The Style Of Gow Saga, And It Hits In The Middle Of The Target...It S A Master Piece. The Story S Deep, Imersive, And The World Of That Gow S So Vivid And Beautiful. I M Not Sure If The New Gameplay S An Upgrade, But It S Enjoyable.\N                     \N                     9,6']",21000,1.1K,4800,2600,2018,246,God Of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
13,Portal 2,2011-04-18,"['Valve', 'Electronic Arts']",4.4,2.9K,2.9K,"['Adventure', 'Platform', 'Puzzle', 'Shooter']","Sequel To The Acclaimed Portal (2007), Portal 2 Pits The Protagonist Of The Original Game, Chell, And Her New Robot Friend, Wheatley, Against More Puzzles Conceived By Glados, An A.I. With The Sole Purpose Of Testing The Portal Gun'S Mechanics And Taking Revenge On Chell For The Events Of Portal. As A Result Of Several Interactions And Revelations, Chell Once Again Pushes To Escape Aperture Science Labs.","['This Is My Fav Game Of All Time, Everything About It Is Amazing', 'Soy Muy Tonto, Scar Tissue Como Dicen Los Chavales De Ahora', 'Nostalgia', 'Thought Portal Was Good? This Game Is Beyond That. This Game Adds A Full Narrative With Characters, And I Guarantee Hearing Banter Between Wheatley, Glad0S, And Cave Johnson (J.K. Simmons!!!) Is Far Better Than Anything Heard Today.', 'Juegarral. Me Encanta Como Extiende El Lore De Aperture Laboratories. Puzles Buenisimos Y De Los Mejores Cooperativos', ""Top 20 Games Ever. This Game Made Realize I Love Puzzle Games (Even If I'M Bad At Them)""]",29000,471,3900,1200,2011,791,Portal 2,X360,2011,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
13,Portal 2,2011-04-18,"['Valve', 'Electronic Arts']",4.4,2.9K,2.9K,"['Adventure', 'Platform', 'Puzzle', 'Shooter']","Sequel To The Acclaimed Portal (2007), Portal 2 Pits The Protagonist Of The Original Game, Chell, And Her New Robot Friend, Wheatley, Against More Puzzles Conceived By Glados, An A.I. With The Sole Purpose Of Testing The Portal Gun'S Mechanics And Taking Revenge On Chell For The Events Of Portal. As A Result Of Several Interactions And Revelations, Chell Once Again Pushes To Escape Aperture Science Labs.","['This Is My Fav Game Of All Time, Everything About It Is Amazing', 'Soy Muy Tonto, Scar Tissue Como Dicen Los Chavales De Ahora', 'Nostalgia', 'Thought Portal Was Good? This Game Is Beyond That. This Game Adds A Full Narrative With Characters, And I Guarantee Hearing Banter Between Wheatley, Glad0S, And Cave Johnson (J.K. Simmons!!!) Is Far Better Than Anything Heard Today.', 'Juegarral. Me Encanta Como Extiende El Lore De Aperture Laboratories. Puzles Buenisimos Y De Los Mejores Cooperativos', ""Top 20 Games Ever. This Game Made Realize I Love Puzzle Games (Even If I'M Bad At Them)""]",29000,471,3900,1200,2011,1018,Portal 2,PS3,2011,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
13,Portal 2,2011-04-18,"['Valve', 'Electronic Arts']",4.4,2.9K,2.9K,"['Adventure', 'Platform', 'Puzzle', 'Shooter']","Sequel To The Acclaimed Portal (2007), Portal 2 Pits The Protagonist Of The Original Game, Chell, And Her New Robot Friend, Wheatley, Against More Puzzles Conceived By Glados, An A.I. With The Sole Purpose Of Testing The Portal Gun'S Mechanics And Taking Revenge On Chell For The Events Of Portal. As A Result Of Several Interactions And Revelations, Chell Once Again Pushes To Escape Aperture Science Labs.","['This Is My Fav Game Of All Time, Everything About It Is Amazing', 'Soy Muy Tonto, Scar Tissue Como Dicen Los Chavales De Ahora', 'Nostalgia', 'Thought Portal Was Good? This Game Is Beyond That. This Game Adds A Full Narrative With Characters, And I Guarantee Hearing Banter Between Wheatley, Glad0S, And Cave Johnson (J.K. Simmons!!!) Is Far Better Than Anything Heard Today.', 'Juegarral. Me Encanta Como Extiende El Lore De Aperture Laboratories. Puzles Buenisimos Y De Los Mejores Cooperativos', ""Top 20 Games Ever. This Game Made Realize I Love Puzzle Games (Even If I'M Bad At Them)""]",29000,471,3900,1200,2011,2701,Portal 2,PC,2011,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76
